state_usps,original_allocation_usd,provisional_award_usd,pct_change_vs_original,gso_satellite_locations,provisional_usd_per_gso_location,provisional_per_location_months_of_starlink
CT,144000000,7216501,-95.0,3271775,2.21,0.0
DC,100700000,996099,-99.0,370493,2.69,0.0
MA,147000000,18654558,-87.3,5858804,3.18,0.1
SC,551000000,41358389,-92.5,6673339,6.2,0.1
NJ,264000000,63551464,-75.9,7750029,8.2,0.1
ND,130000000,6770073,-94.8,660653,10.25,0.2
DE,108000000,13374777,-87.6,1213722,11.02,0.2
NH,197000000,19305223,-90.2,1559078,12.38,0.2
FL,1160000000,291117656,-74.9,22993764,12.66,0.2
MD,268000000,78106623,-70.9,5577488,14.0,0.3
RI,109000000,16137983,-85.2,1023236,15.77,0.3
NE,405000000,43844548,-89.2,2371048,18.49,0.3
OH,794000000,277114388,-65.1,13387643,20.7,0.4
TN,813000000,203311189,-75.0,8367840,24.3,0.4
GA,1310000000,309602817,-76.4,11601441,26.69,0.5
NY,665000000,391097989,-41.2,14078313,27.78,0.5
NC,1530000000,408511175,-73.3,13143566,31.08,0.6
TX,3310000000,1271233725,-61.6,30680821,41.43,0.8
CA,1900000000,1574861927,-17.1,30762079,51.19,0.9
PA,1160000000,793494747,-31.6,14591849,54.38,1.0
IA,415000000,221282630,-46.7,4049127,54.65,1.0
NV,417000000,169749806,-59.3,3072369,55.25,1.0
IN,868000000,486309855,-44.0,8173855,59.5,1.1
AZ,993000000,512129677,-48.4,8227689,62.24,1.1
MN,652000000,377046315,-42.2,6001068,62.83,1.1
CO,827000000,397418888,-51.9,6014318,66.08,1.2
SD,207000000,72816060,-64.8,1090497,66.77,1.2
KY,1000000000,376926543,-62.3,5521885,68.26,1.2
VA,1480000000,613277638,-58.6,8751193,70.08,1.3
KS,451000000,252629596,-44.0,3568184,70.8,1.3
UT,317000000,231292922,-27.0,3104711,74.5,1.4
AR,1000000000,308328089,-69.2,4067884,75.8,1.4
MI,1600000000,919106714,-42.6,12000459,76.59,1.4
IL,1000000000,990645134,-0.9,12380745,80.01,1.5
AL,1400000000,530743198,-62.1,6602646,80.38,1.5
ME,272000000,109412662,-59.8,1259926,86.84,1.6
LA,1360000000,499079587,-63.3,5610175,88.96,1.6
OK,797000000,493318564,-38.1,5197910,94.91,1.7
WI,1060000000,690445792,-34.9,6917041,99.82,1.8
MO,1740000000,793326180,-54.4,7533168,105.31,1.9
WA,1230000000,849894572,-30.9,7728964,109.96,2.0
OR,689000000,620728287,-9.9,4570092,135.82,2.5
MS,1200000000,567165372,-52.7,3979522,142.52,2.6
HI,149000000,94869000,-36.3,639996,148.23,2.7
VT,229000000,118993040,-48.0,768584,154.82,2.8
NM,675000000,432974698,-35.9,2490104,173.88,3.2
ID,583000000,436151356,-25.2,2294383,190.1,3.5
WV,1211000000,624671277,-48.4,2695580,231.74,4.2
WY,348000000,198442261,-43.0,789778,251.26,4.6
MT,629000000,403758268,-35.8,1415897,285.16,5.2
AK,1000000000,483201643,-51.7,616193,784.17,14.3
