state_usps,technology_label,project_count,locations_funded,bead_support_usd,usd_per_funded_location
AK,Fiber,25,24084,528696118.93,21952.17
AK,LEO Satellite,1,15743,23614500.0,1500.0
AK,Licensed Fixed Wireless,3,4381,45439467.72,10371.94
AK,LBR Fixed Wireless,1,1825,16608050.68,9100.3
AK,Unlicensed Fixed Wireless,1,431,14814814.5,34373.12
AL,Fiber,52,65497,411603427.6,6284.31
AL,LEO Satellite,11,22499,16735800.0,743.85
AL,Cable,7,4110,30776407.82,7488.18
AR,Fiber,91,57779,278555670.47,4821.05
AR,LEO Satellite,90,12429,10274988.97,826.69
AR,Licensed Fixed Wireless,33,5044,5235120.51,1037.89
AR,Cable,3,2537,11419765.01,4501.29
AR,Unknown (no location data),1,0,6300.0,
AS,Fiber,1,6895,8385265.59,1216.14
AS,LEO Satellite,1,434,1500.0,3.46
AZ,Fiber,34,116926,282671734.23,2417.53
AZ,Licensed Fixed Wireless,14,29123,117703063.96,4041.58
AZ,LEO Satellite,33,10343,33277906.31,3217.43
AZ,Unlicensed Fixed Wireless,2,3603,5476035.43,1519.85
AZ,Other,1,409,6994619.0,17101.76
CA,Fiber,66,141861,1274622142.56,8985.01
CA,LEO Satellite,2,72937,76560541.18,1049.68
CA,LBR Fixed Wireless,11,48787,36367050.74,745.43
CA,Unlicensed Fixed Wireless,4,5181,17827191.31,3440.88
CA,Licensed Fixed Wireless,2,556,9670659.0,17393.27
CO,LEO Satellite,2,47652,34513199.9,724.28
CO,Fiber,83,45723,381594687.03,8345.79
CO,LBR Fixed Wireless,4,2185,3977876.64,1820.54
CO,Unlicensed Fixed Wireless,3,338,344139.13,1018.16
CO,Licensed Fixed Wireless,2,167,174600.0,1045.51
CT,Fiber,11,706,6982130.85,9889.7
CT,Cable,5,11,142728.4,12975.31
CT,Unknown (no location data),3,0,90890.5,
DC,Licensed Fixed Wireless,1,46,169087.5,3675.82
DC,Unknown (no location data),1,0,827011.5,
DE,Fiber,2,4138,11987409.01,2896.91
DE,Cable,2,590,1547201.99,2622.38
FL,Fiber,48,34881,135397709.92,3881.7
FL,LEO Satellite,2,19363,23203200.0,1198.33
FL,Cable,15,10086,36804071.7,3649.03
FL,Licensed Fixed Wireless,14,7988,31353379.29,3925.06
FL,LBR Fixed Wireless,5,1572,2805814.35,1784.87
FL,Unlicensed Fixed Wireless,1,54,97971.43,1814.29
GA,Fiber,118,91270,277757977.22,3043.26
GA,Cable,6,14788,20198847.0,1365.89
GA,LEO Satellite,134,13599,11774595.42,865.84
GU,Fiber,5,1343,1817271.08,1353.14
GU,LEO Satellite,1,2,3000.0,1500.0
GU,Unknown (no location data),26,0,19.5,
HI,Fiber,4,5724,29843250.0,5213.71
HI,LEO Satellite,4,1285,771000.0,600.0
HI,Unknown (no location data),3,0,58500.0,
IA,Fiber,82,19071,164438137.2,8622.42
IA,Licensed Fixed Wireless,24,14868,12237621.21,823.08
IA,LEO Satellite,2,3588,5569566.13,1552.28
IA,Unlicensed Fixed Wireless,1,42,57097.51,1359.46
ID,Fiber,71,44540,330906579.08,7429.42
ID,LEO Satellite,4,24084,37703503.14,1565.5
ID,LBR Fixed Wireless,19,14897,37031774.7,2485.85
ID,Licensed Fixed Wireless,7,4566,15241234.85,3337.98
ID,Unlicensed Fixed Wireless,3,3194,5355471.54,1676.73
IL,Fiber,213,107678,862515355.59,8010.14
IL,LEO Satellite,1,24224,17632200.0,727.88
IL,Licensed Fixed Wireless,22,21130,46616307.21,2206.17
IL,LBR Fixed Wireless,3,2028,6978610.98,3441.13
IL,Cable,14,480,1518337.69,3163.2
IL,Unlicensed Fixed Wireless,1,194,497224.22,2563.01
IN,Fiber,398,97146,438293625.06,4511.7
IN,LEO Satellite,625,17371,26383500.0,1518.82
IN,Licensed Fixed Wireless,46,7822,17249113.75,2205.21
IN,Cable,9,481,1316248.89,2736.48
KS,Licensed Fixed Wireless,41,13470,24878494.33,1846.96
KS,Fiber,32,7850,114141259.05,14540.29
KS,LBR Fixed Wireless,22,4484,25231591.38,5627.03
KS,LEO Satellite,1,796,2353674.96,2956.88
KY,Fiber,83,59300,325839572.57,5494.77
KY,LEO Satellite,2,21902,32293373.82,1474.45
KY,LBR Fixed Wireless,6,5667,8116988.72,1432.33
KY,Cable,4,291,876338.91,3011.47
LA,Fiber,17,99800,455831321.0,4567.45
LA,LEO Satellite,87,10635,8208750.0,771.86
LA,Licensed Fixed Wireless,6,7328,18490698.0,2523.29
LA,Cable,2,6490,16233318.0,2501.28
MA,LEO Satellite,7,1227,2238472.36,1824.35
MA,Cable,6,1090,13228219.85,12135.98
MA,Fiber,6,248,3368774.23,13583.77
MD,Fiber,6,3169,35201674.84,11108.13
MD,Cable,4,3142,42279838.16,13456.35
MD,LEO Satellite,11,2334,1584000.0,678.66
ME,Fiber,23,18549,41432604.54,2233.68
ME,LEO Satellite,1,3207,6797559.76,2119.6
ME,Cable,1,62,139122.0,2243.9
MI,Fiber,112,169279,857586220.71,5066.11
MI,LEO Satellite,17,24638,35861400.0,1455.53
MI,Licensed Fixed Wireless,1,2688,21161294.9,7872.51
MI,Cable,1,1130,1990092.78,1761.14
MI,LBR Fixed Wireless,2,10,6930.0,693.0
MN,Fiber,83,43098,343934513.89,7980.29
MN,LEO Satellite,2,18655,12913218.93,692.21
MN,LBR Fixed Wireless,8,10788,18423213.77,1707.75
MN,Licensed Fixed Wireless,1,2143,3261064.96,1521.73
MN,Cable,1,55,332135.0,6038.82
MO,Fiber,230,173983,745270177.67,4283.58
MO,GSO Satellite,2,29096,20307800.0,697.96
MO,Licensed Fixed Wireless,37,4866,13274741.83,2728.06
MO,LBR Fixed Wireless,17,3485,5146759.88,1476.83
MO,Cable,5,2373,8326700.63,3508.93
MP,Fiber,20,9568,31365216.0,3278.14
MS,Fiber,48,79278,496330734.34,6260.64
MS,LEO Satellite,4,13480,9765575.26,724.45
MS,Cable,3,521,2260645.38,4339.05
MT,LEO Satellite,2,43662,45982275.0,1053.14
MT,Fiber,24,14199,136064895.44,9582.71
MT,Licensed Fixed Wireless,9,8983,114867002.35,12787.15
MT,LBR Fixed Wireless,2,787,1920629.01,2440.44
MT,Unlicensed Fixed Wireless,1,684,4818602.2,7044.74
MT,Unknown (no location data),1,0,33124.0,
NC,Fiber,187,63101,370231212.33,5867.28
NC,LEO Satellite,95,28116,18345600.0,652.5
NC,Licensed Fixed Wireless,3,927,1796812.22,1938.31
NC,Cable,3,582,4512944.77,7754.2
NC,Unlicensed Fixed Wireless,1,412,574605.78,1394.67
NC,Unknown (no location data),1,0,13050000.0,
ND,Fiber,2,277,6116559.17,22081.44
ND,Cable,1,2,17409.18,8704.59
NE,Licensed Fixed Wireless,67,8002,19580540.23,2446.96
NE,LEO Satellite,104,4764,4768122.16,1000.87
NE,Fiber,10,1266,19546916.12,15439.9
NE,Unknown (no location data),2,0,659978.0,
NH,Fiber,11,3475,11161590.22,3211.97
NH,LEO Satellite,14,1105,953886.93,863.25
NH,Cable,5,555,6507839.63,11725.84
NJ,Fiber,19,4779,32045529.01,6705.49
NJ,Cable,16,3918,24982455.52,6376.33
NJ,LBR Fixed Wireless,3,1316,3347251.0,2543.5
NJ,LEO Satellite,13,1002,1809000.0,1805.39
NM,Fiber,17,17700,224073456.04,12659.52
NM,LBR Fixed Wireless,3,10733,106451698.06,9918.17
NM,Licensed Fixed Wireless,14,6912,36383731.41,5263.85
NM,LEO Satellite,3,6582,13818000.72,2099.36
NM,Unlicensed Fixed Wireless,2,646,1241191.76,1921.35
NV,Fiber,90,17002,160280987.76,9427.18
NV,LEO Satellite,43,7407,5308047.65,716.63
NV,Licensed Fixed Wireless,11,1049,4427420.14,4220.61
NV,Cable,3,753,603607.5,801.6
NV,Unknown (no location data),1,0,30200.0,
NY,Licensed Fixed Wireless,2,18098,103451691.34,5716.19
NY,LEO Satellite,12,14877,22300500.0,1498.99
NY,Fiber,10,14552,148778459.81,10223.92
NY,LBR Fixed Wireless,2,5478,12709614.72,2320.12
OH,LEO Satellite,1,40388,67136792.0,1662.3
OH,Fiber,16,36960,169369473.95,4582.51
OH,Licensed Fixed Wireless,3,4269,12995324.24,3044.11
OH,LBR Fixed Wireless,2,1847,10406271.0,5634.15
OH,Cable,1,528,721796.0,1367.04
OK,Fiber,28,19979,371770916.66,18608.08
OK,LEO Satellite,14,10125,4445835.69,439.09
OK,Licensed Fixed Wireless,32,8046,51356525.86,6382.86
OK,LBR Fixed Wireless,1,1,906.0,906.0
OK,Unknown (no location data),6,0,15379.0,
OR,Fiber,107,54895,555110174.31,10112.22
OR,LEO Satellite,205,48631,26743750.0,549.93
OR,Licensed Fixed Wireless,3,553,1185465.26,2143.7
OR,LBR Fixed Wireless,3,381,3289895.11,8634.9
OR,Unlicensed Fixed Wireless,1,194,1522533.34,7848.11
PA,Fiber,87,82444,682639414.33,8280.04
PA,LEO Satellite,2,23058,19064668.65,826.81
PA,LBR Fixed Wireless,15,17857,54746395.02,3065.82
PA,Cable,8,3545,34278838.0,9669.63
RI,Fiber,11,2117,12538011.0,5922.54
RI,LBR Fixed Wireless,1,391,3428972.0,8769.75
RI,GSO Satellite,2,114,171000.0,1500.0
SC,LEO Satellite,2,9974,7416600.0,743.59
SC,Fiber,13,9529,29385040.06,3083.75
SC,Cable,3,634,4556749.09,7187.3
SD,Unknown (no location data),4,0,72816059.93,
TN,Fiber,43,33420,159882080.22,4784.02
TN,Cable,7,5337,38307750.29,7177.77
TN,LEO Satellite,78,5114,3712900.0,726.03
TX,Fiber,90,121821,1035022759.25,8496.26
TX,LEO Satellite,23,65901,109931334.54,1668.13
