state_usps,granular_project_total_usd,site_state_total_usd,pct_diff,flagged
DC,169087.5,996099.0,-83.0,True
HI,30614250.0,94869000.0,-67.7,True
ME,48369286.3,109412662.0,-55.8,True
KS,166605019.72,252629596.0,-34.1,True
AK,629172951.83,483201643.0,30.2,True
NY,287240265.87,391097989.0,-26.6,True
MT,303653404.0,403758268.0,-24.8,True
VT,92845749.3,118993040.0,-22.0,True
FL,229662146.69,291117656.0,-21.1,True
IA,182302422.04999998,221282630.0,-17.6,True
AL,459115635.42,530743198.0,-13.5,False
WA,736319365.0,849894572.0,-13.4,False
OK,427574184.21000004,493318564.0,-13.3,False
AZ,446123358.93,512129677.0,-12.9,False
WV,545630273.87,624671277.0,-12.7,False
NM,381968077.99,432974698.0,-11.8,False
VA,545170411.16,613277638.0,-11.1,False
MS,508356954.97999996,567165372.0,-10.4,False
UT,207444606.06,231292922.0,-10.3,False
CA,1415047584.79,1574861927.0,-10.1,False
ND,6133968.35,6770073.0,-9.4,False
OH,260629657.19,277114388.0,-5.9,False
CO,420604502.6999999,397418888.0,5.8,False
IL,935758035.69,990645134.0,-5.5,False
OR,587851818.02,620728287.0,-5.3,False
NH,18623316.78,19305223.0,-3.5,False
NC,395461175.09999996,408511175.0,-3.2,False
KY,367126274.02,376926543.0,-2.6,False
ID,426238563.31,436151356.0,-2.3,False
NJ,62184235.53,63551464.0,-2.2,False
CT,7124859.25,7216501.0,-1.3,False
MD,79065513.0,78106623.0,1.2,False
DE,13534611.0,13374777.0,1.2,False
TX,1257675572.93,1271233725.0,-1.1,False
MA,18835466.439999998,18654558.0,1.0,False
AR,305485544.96000004,308328089.0,-0.9,False
WI,696192788.0,690445792.0,0.8,False
TN,201902730.51,203311189.0,-0.7,False
IN,483242487.7,486309855.0,-0.6,False
MN,378864146.55,377046315.0,0.5,False
NV,170620063.04999998,169749806.0,0.5,False
PA,790729316.0,793494747.0,-0.3,False
MI,916605938.39,919106714.0,-0.3,False
NE,43895578.510000005,43844548.0,0.1,False
LA,498764087.0,499079587.0,-0.1,False
MO,792326180.01,793326180.0,-0.1,False
GA,309731419.64000005,309602817.0,0.0,False
RI,16137983.0,16137983.0,0.0,False
SC,41358389.15,41358389.0,0.0,False
WY,198430561.37,198442261.0,-0.0,False
