state_usps,provisional_award_usd,source,ntia_updated_date
AK,629172952.0,ntia_pdf,02/23/2026
AL,464262346.0,ntia_pdf,?
AR,305491845.0,ntia_pdf,11/10/2025
AZ,446123359.0,ntia_pdf,11/24/2025
CA,1415047585.0,ntia_pdf,?
CO,420604503.0,ntia_pdf,12/01/2025
CT,7215750.0,ntia_pdf,?
DC,996099.0,legacy_unverified,
DE,13516741.0,ntia_pdf,11/08/2025
FL,229662147.0,ntia_pdf,01/06/2026
GA,304638706.0,ntia_pdf,11/05/2025
HI,30672750.0,ntia_pdf,?
IA,182302422.0,ntia_pdf,11/09/2025
ID,426238563.0,ntia_pdf,12/18/2025
IL,831161724.0,ntia_pdf,11/24/2025
IN,483242488.0,ntia_pdf,12/01/2025
KS,166605020.0,ntia_pdf,12/05/2025
KY,367126274.0,ntia_pdf,01/06/2026
LA,498764087.0,ntia_pdf,10/06/2025
MA,18835466.0,ntia_pdf,12/18/2025
MD,79065513.0,ntia_pdf,01/06/2026
ME,48369286.0,ntia_pdf,11/03/2025
MI,916605938.0,ntia_pdf,12/01/2025
MN,378864147.0,ntia_pdf,12/18/2025
MO,790525572.0,ntia_pdf,01/06/2026
MS,508353205.0,ntia_pdf,01/28/2026
MT,303686528.0,ntia_pdf,11/14/2025
NC,318737670.0,ntia_pdf,12/18/2025
ND,6133968.0,ntia_pdf,11/25/2025
NE,44555557.0,ntia_pdf,11/24/2025
NH,18623317.0,ntia_pdf,11/13/2025
NJ,62184236.0,ntia_pdf,11/24/2025
NM,381968078.0,ntia_pdf,01/26/2026
NV,170650263.0,ntia_pdf,01/06/2026
NY,287240266.0,ntia_pdf,12/04/2025
OH,260629657.0,ntia_pdf,?
OK,427589563.0,ntia_pdf,04/21/2026
OR,587851818.0,ntia_pdf,01/30/2026
PA,711295843.0,ntia_pdf,02/03/2026
RI,10566150.0,ntia_pdf,11/14/2025
SC,41358389.0,ntia_pdf,11/10/2025
SD,72801060.0,ntia_pdf,12/02/2025
TN,201902731.0,ntia_pdf,02/02/2026
TX,1257675573.0,ntia_pdf,11/18/2025
UT,207444606.0,ntia_pdf,12/18/2025
VA,545170411.0,ntia_pdf,11/17/2025
VT,92845749.0,ntia_pdf,02/09/2026
WA,736319365.0,ntia_pdf,02/11/2026
WI,696592288.0,ntia_pdf,12/01/2025
WV,545692254.0,ntia_pdf,11/20/2025
WY,198430561.0,ntia_pdf,10/06/2025
