state_usps,tiles,total_tests,median_down_mbps,median_up_mbps,median_latency_ms,network_type
AL,33955,214186,311.61,91.614,13.0,fixed
AL,7181,19387,170.204,10.611,29.0,mobile
AR,22563,126157,239.487,94.848,14.0,fixed
AR,4274,10192,168.85399999999998,10.1975,39.0,mobile
AZ,28241,392778,292.208,47.716,15.0,fixed
AZ,11204,42663,205.8355,13.7745,28.0,mobile
CA,99288,2015511,322.304,48.4275,15.0,fixed
CA,41188,203642,211.7935,13.672,23.0,mobile
CO,30094,354756,302.1345,63.508,14.0,fixed
CO,8560,26900,183.1335,10.922,22.0,mobile
CT,18706,167675,377.12699999999995,146.601,11.0,fixed
CT,3456,9875,173.4085,9.782499999999999,25.0,mobile
DE,4286,33006,336.8665,66.62,15.0,fixed
DE,1088,3140,198.8405,11.2705,24.0,mobile
FL,84499,1271951,398.835,125.751,13.0,fixed
FL,28780,103744,220.42700000000002,11.750499999999999,24.0,mobile
GA,61807,480407,336.513,113.837,11.0,fixed
GA,13385,40596,197.041,9.92,25.0,mobile
IA,16426,132371,236.6775,102.095,12.0,fixed
IA,6159,17238,176.949,12.721,35.0,mobile
ID,13718,99245,208.63549999999998,32.1415,21.0,fixed
ID,3721,9603,194.866,12.722,34.0,mobile
IL,45521,476055,301.96,75.215,14.0,fixed
IL,15186,48773,236.647,13.1795,24.0,mobile
IN,37265,265038,295.344,99.488,16.0,fixed
IN,9946,26149,240.115,11.401,26.0,mobile
KS,15004,105234,272.446,114.314,12.0,fixed
KS,4549,14124,215.437,12.832,29.0,mobile
KY,34688,239710,305.1405,160.1605,15.0,fixed
KY,6270,19089,225.443,12.404,33.0,mobile
LA,22465,155120,286.393,41.109,19.0,fixed
LA,5106,13139,167.11849999999998,10.4595,31.0,mobile
MA,25712,221542,319.1115,72.5215,13.0,fixed
MA,5310,19907,179.4015,11.5225,24.0,mobile
MD,20624,170029,315.91700000000003,102.4185,12.0,fixed
MD,5394,19562,204.889,13.4475,24.0,mobile
ME,13968,73533,308.53999999999996,38.246,14.0,fixed
ME,2183,5459,99.461,8.301,33.0,mobile
MI,56675,387580,296.347,38.666,15.0,fixed
MI,15288,46123,202.299,10.777,28.0,mobile
MN,35513,280542,255.061,67.632,12.0,fixed
MN,9273,31588,225.904,12.573,24.0,mobile
MO,37059,285500,274.41,117.087,12.0,fixed
MO,10349,29022,214.509,11.428,29.0,mobile
MS,20246,111105,290.928,161.4485,11.0,fixed
MS,3416,9477,122.9485,8.9165,39.0,mobile
MT,10094,50609,171.113,25.073,23.0,fixed
MT,2455,6585,161.334,13.557,49.0,mobile
NC,73470,602689,363.63149999999996,49.9965,15.0,fixed
NC,15788,48079,167.1685,9.231,28.0,mobile
ND,5251,27833,266.006,201.633,7.0,fixed
ND,1099,4023,214.144,16.081,37.0,mobile
NE,10573,89288,291.105,111.679,13.0,fixed
NE,3378,10117,182.2295,17.057000000000002,34.0,mobile
NH,11628,69975,328.16650000000004,101.747,13.0,fixed
NH,1634,3844,112.223,8.568000000000001,28.0,mobile
NJ,28064,435534,343.46950000000004,114.862,11.0,fixed
NJ,8284,34763,188.029,14.189499999999999,23.0,mobile
NM,12046,88232,182.57799999999997,29.6115,26.0,fixed
NM,3570,10577,161.70499999999998,14.293,40.0,mobile
NV,9838,192605,343.2335,106.09299999999999,14.0,fixed
NV,4582,25593,196.735,15.285499999999999,23.0,mobile
NY,58179,709438,328.546,47.712,12.0,fixed
NY,14230,71061,205.336,15.0655,26.0,mobile
OH,59725,514068,330.703,37.368,15.0,fixed
OH,16578,44032,227.87,12.457,28.0,mobile
OK,25320,168780,233.9895,93.232,14.0,fixed
OK,6595,19369,201.329,12.243,30.0,mobile
TX,136094,1593571,317.091,108.22,13.0,fixed
TX,39176,174316,210.80700000000002,11.5455,25.0,mobile
WA,39598,368812,280.73900000000003,41.308,14.0,fixed
WA,11943,51216,192.378,11.836,24.0,mobile
