state_usps,tiles,total_tests,median_down_mbps,median_up_mbps,median_latency_ms,network_type,year,quarter,prev_median_down_mbps,down_mbps_qoq_change_pct
AK,6037,28989,178.484,24.774,14.0,fixed,2026,1,,
AK,7441,32436,148.665,21.332,17.0,fixed,2026,2,178.484,-16.7
AK,1068,2507,54.939,13.4355,53.0,mobile,2026,1,,
AK,1397,4889,47.849,11.42,61.0,mobile,2026,2,54.939,-12.9
AL,32776,209635,311.50350000000003,76.542,13.0,fixed,2026,1,,
AL,33955,214186,311.61,91.614,13.0,fixed,2026,2,311.50350000000003,0.0
AL,6476,16269,207.22199999999998,12.824,28.0,mobile,2026,1,,
AL,7181,19387,170.204,10.611,29.0,mobile,2026,2,207.22199999999998,-17.9
AR,21697,125803,243.609,95.112,15.0,fixed,2026,1,,
AR,22563,126157,239.487,94.848,14.0,fixed,2026,2,243.609,-1.7
AR,3860,9164,207.7385,12.9365,41.0,mobile,2026,1,,
AR,4274,10192,168.85399999999998,10.1975,39.0,mobile,2026,2,207.7385,-18.7
AZ,28518,451635,283.1815,45.9725,16.0,fixed,2026,1,,
AZ,28241,392778,292.208,47.716,15.0,fixed,2026,2,283.1815,3.2
AZ,11529,46923,187.827,13.25,28.0,mobile,2026,1,,
AZ,11204,42663,205.8355,13.7745,28.0,mobile,2026,2,187.827,9.6
CA,98091,2206337,323.138,49.315,15.0,fixed,2026,1,,
CA,99288,2015511,322.304,48.4275,15.0,fixed,2026,2,323.138,-0.3
CA,40191,196181,213.02,13.703,23.0,mobile,2026,1,,
CA,41188,203642,211.7935,13.672,23.0,mobile,2026,2,213.02,-0.6
CO,28158,372961,318.41049999999996,70.4485,13.0,fixed,2026,1,,
CO,30094,354756,302.1345,63.508,14.0,fixed,2026,2,318.41049999999996,-5.1
CO,7314,32104,209.3255,12.733,20.0,mobile,2026,1,,
CO,8560,26900,183.1335,10.922,22.0,mobile,2026,2,209.3255,-12.5
CT,18237,172073,398.97,154.074,12.0,fixed,2026,1,,
CT,18706,167675,377.127,146.601,11.0,fixed,2026,2,398.97,-5.5
CT,2924,7492,192.4975,12.219000000000001,24.0,mobile,2026,1,,
CT,3456,9875,173.4085,9.7825,25.0,mobile,2026,2,192.4975,-9.9
DC,613,21111,339.641,115.924,10.0,fixed,2026,1,,
DC,639,19778,326.221,119.876,10.0,fixed,2026,2,339.641,-4.0
DC,356,3778,265.2665,32.1315,20.0,mobile,2026,1,,
DC,419,5169,294.577,30.71,21.0,mobile,2026,2,265.2665,11.0
DE,4115,28255,351.184,71.493,15.0,fixed,2026,1,,
DE,4286,33006,336.8665,66.62,15.0,fixed,2026,2,351.184,-4.1
DE,885,2500,237.866,16.682,22.0,mobile,2026,1,,
DE,1088,3140,198.8405,11.2705,24.0,mobile,2026,2,237.866,-16.4
FL,86273,1485140,387.141,113.156,14.0,fixed,2026,1,,
FL,84499,1271951,398.835,125.751,13.0,fixed,2026,2,387.141,3.0
FL,29545,104068,219.859,12.407,24.0,mobile,2026,1,,
FL,28780,103744,220.427,11.7505,24.0,mobile,2026,2,219.859,0.3
GA,61089,493376,336.73,111.88,11.0,fixed,2026,1,,
GA,61807,480407,336.513,113.837,11.0,fixed,2026,2,336.73,-0.1
GA,11889,33654,233.998,12.29,24.0,mobile,2026,1,,
GA,13385,40596,197.041,9.92,25.0,mobile,2026,2,233.998,-15.8
HI,4164,95911,306.594,68.548,13.0,fixed,2026,1,,
HI,3971,80721,322.78,68.531,12.0,fixed,2026,2,306.594,5.3
HI,1337,6762,107.052,12.306,26.0,mobile,2026,1,,
HI,1305,7564,105.4,12.514,26.0,mobile,2026,2,107.052,-1.5
IA,15479,133378,243.204,103.984,12.0,fixed,2026,1,,
IA,16426,132371,236.6775,102.095,12.0,fixed,2026,2,243.204,-2.7
IA,4762,15226,203.74099999999999,15.924,35.0,mobile,2026,1,,
IA,6159,17238,176.949,12.721,35.0,mobile,2026,2,203.74099999999999,-13.2
ID,12400,100180,227.55700000000002,35.8425,19.0,fixed,2026,1,,
ID,13718,99245,208.6355,32.1415,21.0,fixed,2026,2,227.55700000000002,-8.3
ID,3203,8930,190.055,13.582,32.0,mobile,2026,1,,
ID,3721,9603,194.866,12.722,34.0,mobile,2026,2,190.055,2.5
IL,44408,492754,315.007,78.789,13.0,fixed,2026,1,,
IL,45521,476055,301.96,75.215,14.0,fixed,2026,2,315.007,-4.1
IL,13230,39994,268.6325,16.3975,23.0,mobile,2026,1,,
IL,15186,48773,236.647,13.1795,24.0,mobile,2026,2,268.6325,-11.9
IN,35901,266774,314.43,101.175,16.0,fixed,2026,1,,
IN,37265,265038,295.344,99.488,16.0,fixed,2026,2,314.43,-6.1
IN,8326,28222,264.647,14.655999999999999,25.0,mobile,2026,1,,
IN,9946,26149,240.115,11.401,26.0,mobile,2026,2,264.647,-9.3
KS,14682,109384,281.057,121.43549999999999,12.0,fixed,2026,1,,
KS,15004,105234,272.446,114.314,12.0,fixed,2026,2,281.057,-3.1
KS,3911,10425,245.591,15.582,30.0,mobile,2026,1,,
KS,4549,14124,215.437,12.832,29.0,mobile,2026,2,245.591,-12.3
KY,34380,257779,315.7115,172.26,15.0,fixed,2026,1,,
KY,34688,239710,305.1405,160.1605,15.0,fixed,2026,2,315.7115,-3.3
KY,5687,18897,242.128,14.902,33.0,mobile,2026,1,,
KY,6270,19089,225.443,12.404,33.0,mobile,2026,2,242.128,-6.9
LA,22689,171052,280.191,39.831,20.0,fixed,2026,1,,
LA,22465,155120,286.393,41.109,19.0,fixed,2026,2,280.191,2.2
LA,5236,14585,173.8715,11.692,31.0,mobile,2026,1,,
LA,5106,13139,167.11849999999998,10.4595,31.0,mobile,2026,2,173.8715,-3.9
MA,24362,216428,339.8635,74.9335,13.0,fixed,2026,1,,
MA,25712,221542,319.1115,72.5215,13.0,fixed,2026,2,339.8635,-6.1
MA,4649,14674,199.402,13.606,24.0,mobile,2026,1,,
MA,5310,19907,179.4015,11.5225,24.0,mobile,2026,2,199.402,-10.0
MD,20211,173396,335.693,106.105,11.0,fixed,2026,1,,
MD,20624,170029,315.91700000000003,102.4185,12.0,fixed,2026,2,335.693,-5.9
MD,4988,17148,223.511,16.891,23.0,mobile,2026,1,,
MD,5394,19562,204.889,13.4475,24.0,mobile,2026,2,223.511,-8.3
