technology,provider,plan,monthly_price_usd,advertised_mbps_down,cost_per_mbps_usd,as_of,source
leo_satellite,Starlink,Residential,55,100,0.550,2026-09,satelliteinternet.com
leo_satellite,Starlink,Residential 200,85,200,0.425,2026-09,satelliteinternet.com
leo_satellite,Starlink,Residential Max,130,400,0.325,2026-09,satelliteinternet.com
leo_satellite,Starlink,Roam 100GB,55,100,0.550,2026-09,satelliteinternet.com
leo_satellite,Starlink,Roam Unlimited,175,100,1.750,2026-09,satelliteinternet.com
direct_to_cell,T-Satellite (Starlink/T-Mobile),Standalone add-on,10,,,2026-09,usmobile.com
leo_satellite,Amazon Kuiper,No public consumer pricing yet,,,,2026-09,orbitalradar.com
gso_satellite,Legacy satphone (Iridium/Thuraya),Voice/data handset,,,,2026-09,payloadspace.com
gso_satellite,HughesNet,25 Mbps tier,50,25,2.000,2026-09,highspeedinternet.com
gso_satellite,HughesNet,100 Mbps tier,95,100,0.950,2026-09,internetproviders.ai
gso_satellite,Viasat,Essentials (150GB),40,150,0.267,2026-09,satelliteinternet.com
gso_satellite,Viasat,Unleashed,100,150,0.667,2026-09,satelliteinternet.com
cable,Xfinity,500 Mbps,55,500,0.110,2026-09,highspeedinternet.com
cable,Xfinity,1 Gig,70,1000,0.070,2026-09,highspeedinternet.com
cable,Spectrum,300 Mbps,50,300,0.167,2026-09,cabletv.com
cable,Spectrum,Ultra 500 Mbps,70,500,0.140,2026-09,cabletv.com
cable,Spectrum,Gig 1 Gbps,90,1000,0.090,2026-09,cabletv.com
fiber,AT&T Fiber,300 Mbps (standard),55,300,0.183,2026-09,broadbandnow.com
fiber,Verizon Fios,300 Mbps,50,300,0.167,2026-09,internetproviders.ai
fiber,Verizon Fios,fastest tier,120,2300,0.052,2026-09,internetproviders.ai
fixed_wireless,Verizon 5G Home,Entry (100 Mbps),50,100,0.500,2026-09,myutilitysearch.com
fixed_wireless,Verizon 5G Home,Top tier (300 Mbps),70,300,0.233,2026-09,myutilitysearch.com
fixed_wireless,T-Mobile Home Internet,Standard,50,166,0.301,2026-09,t-mobile.com
cable,National average,Typical residential,65,300,0.217,2026-09,broadbandnow.com
fiber,National average,Typical residential,80,500,0.160,2026-09,broadbandnow.com
dsl,National average,Typical residential,50,25,2.000,2026-09,broadbandnow.com
fixed_wireless,National average,Typical residential,45,50,0.900,2026-09,broadbandnow.com
