state_usps,year,median_household_income_usd,series_id
AL,2025,68410.0,MEHOINUSALA646N
AK,2025,102500.0,MEHOINUSAKA646N
AZ,2025,86570.0,MEHOINUSAZA646N
AR,2025,68060.0,MEHOINUSARA646N
CA,2025,100800.0,MEHOINUSCAA646N
CO,2025,102500.0,MEHOINUSCOA646N
CT,2025,101400.0,MEHOINUSCTA646N
DE,2025,99800.0,MEHOINUSDEA646N
DC,2025,107600.0,MEHOINUSDCA646N
FL,2025,77920.0,MEHOINUSFLA646N
GA,2025,82100.0,MEHOINUSGAA646N
HI,2025,105100.0,MEHOINUSHIA646N
ID,2025,87840.0,MEHOINUSIDA646N
IL,2025,93270.0,MEHOINUSILA646N
IN,2025,76180.0,MEHOINUSINA646N
IA,2025,81890.0,MEHOINUSIAA646N
KS,2025,85540.0,MEHOINUSKSA646N
KY,2025,73750.0,MEHOINUSKYA646N
LA,2025,60670.0,MEHOINUSLAA646N
ME,2025,95150.0,MEHOINUSMEA646N
MD,2025,116300.0,MEHOINUSMDA646N
MA,2025,118500.0,MEHOINUSMAA646N
MI,2025,76800.0,MEHOINUSMIA646N
MN,2025,95160.0,MEHOINUSMNA646N
MS,2025,57840.0,MEHOINUSMSA646N
MO,2025,84700.0,MEHOINUSMOA646N
MT,2025,86770.0,MEHOINUSMTA646N
NE,2025,100600.0,MEHOINUSNEA646N
NV,2025,88880.0,MEHOINUSNVA646N
NH,2025,112100.0,MEHOINUSNHA646N
NJ,2025,111400.0,MEHOINUSNJA646N
NM,2025,67620.0,MEHOINUSNMA646N
NY,2025,86900.0,MEHOINUSNYA646N
NC,2025,80250.0,MEHOINUSNCA646N
ND,2025,85060.0,MEHOINUSNDA646N
OH,2025,85150.0,MEHOINUSOHA646N
OK,2025,75390.0,MEHOINUSOKA646N
OR,2025,92740.0,MEHOINUSORA646N
PA,2025,85880.0,MEHOINUSPAA646N
RI,2025,96880.0,MEHOINUSRIA646N
SC,2025,82320.0,MEHOINUSSCA646N
SD,2025,82460.0,MEHOINUSSDA646N
TN,2025,75250.0,MEHOINUSTNA646N
TX,2025,85060.0,MEHOINUSTXA646N
UT,2025,102900.0,MEHOINUSUTA646N
VT,2025,95290.0,MEHOINUSVTA646N
VA,2025,100000.0,MEHOINUSVAA646N
WA,2025,112600.0,MEHOINUSWAA646N
WV,2025,61770.0,MEHOINUSWVA646N
WI,2025,88020.0,MEHOINUSWIA646N
WY,2025,81030.0,MEHOINUSWYA646N
