state_usps,technology,provider,coverage_pct,source_url,as_of,note
AK,Cable,GCI Communication,68.0,https://broadbandnow.com/Alaska,2026-09,
AK,DSL (Copper),Alaska Communications,24.4,https://broadbandnow.com/Alaska,2026-09,
AK,Fiber,KPU Telecommunications,1.9,https://broadbandnow.com/Alaska,2026-09,
AL,Cable,Spectrum,43.2,https://broadbandnow.com/Alabama,2026-09,
AL,DSL (Copper),Brightspeed,9.4,https://broadbandnow.com/Alabama,2026-09,largest DSL provider still selling DSL (AT&T no longer sells DSL to new customers; EarthLink resells AT&T lines)
AL,Fiber,AT&T Fiber,35.8,https://broadbandnow.com/Alabama,2026-09,
AR,Cable,Cox,18.8,https://broadbandnow.com/Arkansas,2026-09,
AR,DSL (Copper),Brightspeed,14.4,https://broadbandnow.com/Arkansas,2026-09,largest DSL provider still selling DSL (AT&T no longer sells DSL to new customers; EarthLink resells AT&T lines)
AR,Fiber,AT&T Fiber,25.0,https://broadbandnow.com/Arkansas,2026-09,
AZ,Cable,Cox,59.5,https://broadbandnow.com/Arizona,2026-09,
AZ,DSL (Copper),CenturyLink,70.4,https://broadbandnow.com/Arizona,2026-09,
AZ,Fiber,Quantum Fiber,11.9,https://broadbandnow.com/Arizona,2026-09,
CA,Cable,Spectrum,49.5,https://broadbandnow.com/California,2026-09,
CA,DSL (Copper),AT&T Internet,46.3,https://broadbandnow.com/California,2026-09,
CA,Fiber,AT&T Fiber,46.3,https://broadbandnow.com/California,2026-09,AT&T's combined DSL/Fiber listing counted as fiber
CO,Cable,Xfinity,78.8,https://broadbandnow.com/Colorado,2026-09,
CO,DSL (Copper),CenturyLink,62.2,https://broadbandnow.com/Colorado,2026-09,
CO,Fiber,Quantum Fiber,33.5,https://broadbandnow.com/Colorado,2026-09,
CT,Cable,Xfinity,54.1,https://broadbandnow.com/Connecticut,2026-09,
CT,DSL (Copper),Frontier,3.2,https://broadbandnow.com/Connecticut,2026-09,
CT,Fiber,Frontier,80.0,https://broadbandnow.com/Connecticut,2026-09,
DC,Cable,Xfinity,99.1,https://broadbandnow.com/District-of-Columbia,2026-09,
DC,DSL (Copper),Verizon High Speed Internet,100.0,https://broadbandnow.com/District-of-Columbia,2026-09,
DC,Fiber,Verizon Fios,63.6,https://broadbandnow.com/District-of-Columbia,2026-09,
DE,Cable,Xfinity,83.1,https://broadbandnow.com/Delaware,2026-09,
DE,DSL (Copper),Verizon High Speed Internet,42.9,https://broadbandnow.com/Delaware,2026-09,
DE,Fiber,Verizon Fios,62.4,https://broadbandnow.com/Delaware,2026-09,EarthLink excluded as a reseller
FL,Cable,Xfinity,50.8,https://broadbandnow.com/Florida,2026-09,
FL,DSL (Copper),CenturyLink,18.0,https://broadbandnow.com/Florida,2026-09,largest DSL provider still selling DSL (AT&T no longer sells DSL to new customers; EarthLink resells AT&T lines)
FL,Fiber,AT&T Fiber,29.9,https://broadbandnow.com/Florida,2026-09,
